0,1,2,3,4,5,6,7
2019-10-11 09:17:01,"RT @kikimordi: Hey I forgot to mention that we hit a million views in two days!
How cool is that? @BBCAfrica
#BBCAfricaEye #SexForGrades…",en,,False,Twitter for Android,143,0
2019-10-11 09:16:31,"RT @TheAfricaReport: For Nigeria in particular, ""Sex for grades"" is one more shock in a yearlong roster of scandal, writes @EromoEgbejule…",en,"Abuja, Nigeria",False,Twitter for iPhone,3,0
2019-10-11 09:15:08,"RT @BBCAfrica: ""This was the hardest thing I've ever done.""

@kikimordi tells our Women's Affairs journalist @azzy4women, what it was like…",en,Lagos Nigeria,False,Twitter for Android,130,0
2019-10-11 09:12:44,RT @TraQman: Locking up the ‘cold room’ is not enough. It’s just a structure. They will find another room. We need to LOCK UP sexual harras…,en,,False,Twitter for iPhone,7,0
2019-10-11 09:11:43,"RT @BBCAfrica: For the past year, BBC Africa Eye has been secretly investigating sexual harassment by lecturers at West Africa's most prest…",en,Kano ,False,Twitter for iPad,16536,0
2019-10-11 09:10:58,"RT @kikimordi: Hey I forgot to mention that we hit a million views in two days!
How cool is that? @BBCAfrica
#BBCAfricaEye #SexForGrades…",en,cardiff,False,Twitter for Android,143,0
2019-10-11 09:10:01,RT @TraQman: Locking up the ‘cold room’ is not enough. It’s just a structure. They will find another room. We need to LOCK UP sexual harras…,en,In His presence ,False,Twitter for Android,7,0
2019-10-11 09:08:19,"RT @BBCAfrica: A drug called nyaope is destroying young lives in South Africa’s townships. For #BBCAfricaEye, crime reporter Golden Mtika f…",en,South Africa,False,Twitter for Android,1209,0
2019-10-11 09:08:18,"Aisha Buhari Denied Entry Into Presidential Villa
#nigeria #vector #Aishabuhari #buhari #nigeriasenate #wife… https://t.co/fdJPV0UWyq",en,Enugu,False,Twitter Web App,0,0
2019-10-11 09:08:16,"RT @BBCAfrica: ""This was the hardest thing I've ever done.""

@kikimordi tells our Women's Affairs journalist @azzy4women, what it was like…",en,"Lagos, Nigeria ",False,Twitter Web App,130,0
2019-10-11 09:05:28,"RT @BBCAfrica: ""This was the hardest thing I've ever done.""

@kikimordi tells our Women's Affairs journalist @azzy4women, what it was like…",en,Space,False,Twitter for Android,130,0
2019-10-11 09:05:16,RT @TraQman: Locking up the ‘cold room’ is not enough. It’s just a structure. They will find another room. We need to LOCK UP sexual harras…,en,Nigeria,False,Twitter for Android,7,0
2019-10-11 09:01:52,RT @TraQman: Locking up the ‘cold room’ is not enough. It’s just a structure. They will find another room. We need to LOCK UP sexual harras…,en,A Happy Place,False,Twitter for Android,7,0
2019-10-11 09:00:14,"RT @BBCAfrica: For the past year, BBC Africa Eye has been secretly investigating sexual harassment by lecturers at West Africa's most prest…",en,"Abuja, Nigeria",False,Twitter for Android,16536,0
2019-10-11 08:53:18,RT @TraQman: Locking up the ‘cold room’ is not enough. It’s just a structure. They will find another room. We need to LOCK UP sexual harras…,en,,False,Twitter for Android,7,0
2019-10-11 08:53:13,"RT @kikimordi: Hey I forgot to mention that we hit a million views in two days!
How cool is that? @BBCAfrica
#BBCAfricaEye #SexForGrades…",en,,False,Twitter for Android,143,0
2019-10-11 08:53:02,RT @TraQman: Locking up the ‘cold room’ is not enough. It’s just a structure. They will find another room. We need to LOCK UP sexual harras…,en,"Lagos, Nigeria",False,Twitter for iPhone,7,0
2019-10-11 08:52:41,RT @TraQman: Locking up the ‘cold room’ is not enough. It’s just a structure. They will find another room. We need to LOCK UP sexual harras…,en,"Lagos, Nigeria",False,Twitter for Android,7,0
2019-10-11 08:52:00,"RT @Gidi_Traffic: ""@scordk: University Lecturers right now 😆😆😆😆 @Gidi_Traffic #SexForGrades #BBCAfricaEye https://t.co/XWAyJodrVr",en,,False,Alex Retweet6,31,0
2019-10-11 08:51:38,"RT @kikimordi: The full Documentary is here https://t.co/cB0SbnzSIi
#SexForGrades #BBCAfricaEye https://t.co/APQkGx7guY",en,Stretch mark island ,False,Twitter for Android,4723,0
