0,1,2,3,4,5,6,7
2019-10-11 13:23:37,RT @Nwankpa_A: Not until there's a comprehensive and open inquiry into all allegations made here about #coldroom and gender-based abuse in…,en,Graceland,False,Twitter for iPhone,3,0
2019-10-11 13:16:27,RT @gidifeedtv: #SexForGrades #Coldroom https://t.co/tgh9Rl0KnK,und,OUTSIDE,False,Twitter for Android,1,0
2019-10-11 13:16:23,RT @gidifeedtv: #SexforGrades #Coldroom https://t.co/qFRhD2yZB0,und,OUTSIDE,False,Twitter for Android,3,0
2019-10-11 13:16:09,RT @gidifeedtv: #SexforGrades #Coldroom  cc @Gidi_Traffic https://t.co/aoxsQqT9vm,und,OUTSIDE,False,Twitter for Android,1,0
2019-10-11 13:00:25,Nigerian Senate Reintroduces Anti-Sexual Harassment Bill https://t.co/lam3jv1wHM #Nigeria #SexForGrades… https://t.co/NM2cKw7CA8,en,Africa,True,allAfrica.com,0,1
2019-10-11 13:00:22,"RT @Manuel_Cyrill: The way them slap slap the guy dierr 
Just imagine what will happen in the #Coldroom 😂😂😂😂",en,"Accra, Dansoman",False,Twitter for iPhone,2,0
2019-10-11 12:36:30,"#Uberboat available in Lagos
Route : Falomo - Ikorodu N500
11th - 25th oct.

#ColdRoom #BBNajia2019 #BUSA19",fr,Nigeria ,False,Twitter Web App,0,0
2019-10-11 12:35:54,"RT @ImperialEdu: It uses a nine-band scale to clearly identify levels of proficiency, from non-user (band score 1) through to expert (band…",en,"Jos, Nigeria",False,Twitter for Android,1,0
2019-10-11 12:23:48,"RT @Nwankpa_A: You frown at the bodies of women during the day, but once they off light small you begin #coldroom behavior. ""Let me kizz yo…",en,WonderLand,False,Twitter for iPhone,2,0
2019-10-11 12:14:46,"I want to be your side kick !, I won’t disturb you, trust me 😂😂😂

#ColdRoom wahala #legon #gyampo",en,Ghana,False,Twitter for iPhone,0,4
2019-10-11 11:52:45,RT @Nwankpa_A: Not until there's a comprehensive and open inquiry into all allegations made here about #coldroom and gender-based abuse in…,en,"Abuja,Nigeria",False,Twitter for iPhone,3,0
2019-10-11 11:44:08,"RT @Manuel_Cyrill: The way them slap slap the guy dierr 
Just imagine what will happen in the #ColdRoom  #ChalewoteChallenge #LegonCampus 😂…",en,"Accra, Ghana",False,Twitter for Android,1,0
2019-10-11 11:43:17,"The way them slap slap the guy dierr 
Just imagine what will happen in the #ColdRoom  #ChalewoteChallenge #LegonCampus 😂😂😂😂",en,"Accra, Dansoman",False,Twitter for iPhone,1,4
2019-10-11 11:38:37,"RT @Manuel_Cyrill: The way them slap slap the guy dierr 
Just imagine what will happen in the #Coldroom 😂😂😂😂",en,Ghana ,False,Twitter for Android,2,0
2019-10-11 11:36:56,"The way them slap slap the guy dierr 
Just imagine what will happen in the #Coldroom 😂😂😂😂",en,"Accra, Dansoman",False,Twitter for iPhone,2,11
2019-10-11 11:27:36,@Bby_Esi I prefer #ColdRoom 😂,en,,False,Twitter for Android,0,0
2019-10-11 11:17:03,"RT @IKE__ANOBI: #ColdRoom
#Coldroomexperience

Unilag lecturers: https://t.co/BVcHdWX9Oq",tl,No where,False,Twitter for Android,9,0
2019-10-11 11:11:23,@03Spoiler @ronyj16 The real #ColdRoom experience dat 😂😂😂,en,,False,Twitter for iPhone,0,0
2019-10-11 10:37:50,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,"Tamale, Ghana",False,Twitter for iPhone,57,0
