0,1,2,3,4,5,6,7
2019-10-11 10:37:50,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,"Tamale, Ghana",False,Twitter for iPhone,57,0
2019-10-11 08:09:44,RT @TWmagazineNG: Has another #UniLag lecturer joined #DrBoniface in suspension? How many #SexForGrades cases have been reported so far? Wh…,en,,False,Twitter for Android,1,0
2019-10-11 07:50:52,Has another #UniLag lecturer joined #DrBoniface in suspension? How many #SexForGrades cases have been reported so f… https://t.co/OYVT1U4QSd,en,"Lagos, Nigeria",False,Twitter for iPhone,1,2
2019-10-11 05:57:53,"RT @ekekan12332: WOW I CAN'T BELIEVE I WON AGAIN TODAY. @paydirect15 GAMES ARE REAL AND TRUSTED NO DOUBTS

#sexforgrades #TachaRebranded #k…",en,,False,Twitter for Android,3,0
2019-10-10 20:16:21,"RT @therealveev: VERY CLEAN CAR FOR SALE
2010 FORD TAURUS (TOKUNBO) IN RED COLOR
MILEAGE: 70,000km
PRICE: 4.45M
LOCATION: LEKKI, LAGOS
CONT…",en,"Lagos, Nigeria",False,Twitter for Android,1,0
2019-10-10 16:21:27,The most realistic scenario... #sexforgrades #AskManifest #aposorlove #Rapperholic2019 #innosonmotors #DrBoniface… https://t.co/Yl3MR8uchr,en,"Negros, USA",False,Twitter for Android,0,2
2019-10-10 15:43:33,"RT @Stan_LeyGH: #SexForGrades

Hardest guy alive...#DrBoniface💯
You fit press boobs then prepare sermon, eeeei😂😂💔💔",en,Somewhere Far,False,Twitter for iPhone,20,0
2019-10-10 14:24:34,"RT @Alaniempire_: ALANI to the world!! 
#TuesdayMotivation #NoSnakesTour #distraction2 #Coldroomexperience #TuesdayMorning #falz #FIFA20 #D…",en,,False,Twitter for Android,1,0
2019-10-10 13:07:08,RT @ayodraws: Many of our beloved women are damaged because of what these idiotic men have done! We will not let it slide! #sexforgrades #c…,en,,False,Twitter for iPhone,18,0
2019-10-10 09:32:00,RT @KenOlorunfemi: This will stand as a deterrent to others who engage in this act. Let this also be the beginning of the change we demand…,en,Rwanda,False,Twitter for Android,1,0
