0,1,2,3,4,5,6,7
2019-10-11 14:10:45,"RT @wofasenyo: Ladies and gentlemen 
I introduce ;
Your mandem beater
The #chalewote user
#legon's finest 
Representing  all the Ga communi…",en,Kelewele Joint,False,Twitter for iPhone,30,0
2019-10-11 14:08:00,"RT @Mosmikey: We should not laugh.
We should learn.
#legon #gyampo #unilag #UNILAG #Boniface #sexforgrades #universityofghana #Coldroomexpe…",en,GHANA,False,Twitter for Android,8,0
2019-10-11 14:04:25,"RT @wofasenyo: Ladies and gentlemen 
I introduce ;
Your mandem beater
The #chalewote user
#legon's finest 
Representing  all the Ga communi…",en,Ghana,False,Twitter for iPhone,30,0
2019-10-11 13:59:36,"RT @Mosmikey: We should not laugh.
We should learn.
#legon #gyampo #unilag #UNILAG #Boniface #sexforgrades #universityofghana #Coldroomexpe…",en,,False,Twitter for Android,8,0
2019-10-11 13:46:30,"RT @wofasenyo: Ladies and gentlemen 
I introduce ;
Your mandem beater
The #chalewote user
#legon's finest 
Representing  all the Ga communi…",en,Ghana,False,Twitter for iPhone,30,0
2019-10-11 13:42:07,"RT @wofasenyo: Ladies and gentlemen 
I introduce ;
Your mandem beater
The #chalewote user
#legon's finest 
Representing  all the Ga communi…",en,Oreoland ,False,Twitter for Android,30,0
2019-10-11 13:42:05,"RT @Mosmikey: We should not laugh.
We should learn.
#legon #gyampo #unilag #UNILAG #Boniface #sexforgrades #universityofghana #Coldroomexpe…",en,Accra Ghana ,False,Twitter for Android,8,0
2019-10-11 13:41:37,"Buh this people demma leak be one of a kind. With that stool move, ah up ma game rough 😂😂😂😂😂😂 #legon #Gyampo #unilag https://t.co/trYcBOvAS6",en,Destination Heaven,False,Twitter for iPhone,0,2
2019-10-11 13:41:07,"RT @FerrariKobina: Ladies and gentlemen 
I introduce ;
Your mandem beater
The #chalewote user
#legon's finest 
Representing  all the Ga com…",en,"Kumasi, Ghana",False,Twitter for iPhone,1,0
2019-10-11 13:37:06,"RT @rickiceberg: Africa must know #Gyampo #SexForGrades #legon
it only happens in Africa. https://t.co/i8Kjk1iHNR",en,accra Ghana,False,Twitter Web App,2,0
2019-10-11 13:36:58,"RT @Mosmikey: We should not laugh.
We should learn.
#legon #gyampo #unilag #UNILAG #Boniface #sexforgrades #universityofghana #Coldroomexpe…",en,,False,Twitter for Android,8,0
2019-10-11 13:34:03,"RT @wofasenyo: Ladies and gentlemen 
I introduce ;
Your mandem beater
The #chalewote user
#legon's finest 
Representing  all the Ga communi…",en,"Ghana, West Africa",False,Twitter for Android,30,0
2019-10-11 13:33:53,"RT @wofasenyo: Ladies and gentlemen 
I introduce ;
Your mandem beater
The #chalewote user
#legon's finest 
Representing  all the Ga communi…",en,,False,Twitter for Android,30,0
2019-10-11 13:33:41,"RT @rickiceberg: Africa must know #Gyampo #SexForGrades #legon
it only happens in Africa. https://t.co/i8Kjk1iHNR",en,"Accra, Ghana",False,Twitter for iPhone,2,0
