0,1,2,3,4,5,6,7
2019-10-09 17:32:34,"Buhari fight corruption but don't fight #Sex4Grades

Coz If not many girls in Unilag  won't graduate😂",en,Nigeria,False,Twitter for Android,0,0
2019-10-09 17:26:31,Lord forgive me but any man intro himself to me as a Pastor I'm grabbing my daughter and my wallet tightly!!!! Unti… https://t.co/it9ujYjXlY,en,Nigeria,False,Twitter for Android,0,0
2019-10-09 17:14:34,"RT @Letitoutgh: It’s typical of @UnivofGh lecturers to resort to courting sympathy or threatening victims when they are reported.

This was…",en,,False,Twitter for iPad,78,0
2019-10-09 17:09:11,"Biko nu ,who is the minister of education?
#sex4grades.
#wedeservebetter.",en,"Lagos, Nigeria",False,Twitter for Android,0,0
2019-10-09 17:04:18,"@emekachukwuleta Like I said, before.. @BBCAfrica am proud of you.

When it was @timidakolo and his wife then you g… https://t.co/b3zBehqNU8",en,"Lagos, Nigeria",False,Twitter for Android,0,0
2019-10-09 16:50:41,RT @AndyMadaki: I’ll be discussing my thoughts on  #Sex4Grades on @kapital929 FM Abuja from 9am this morning.,en,,False,Twitter for iPhone,10,0
2019-10-09 16:38:51,RT @objectvmedia: #Sex4Grades Adeyeye Olorunfemi wrote the following exposé about libidinal sexcapades of lecturers at UNILAG. The authorit…,en,"Lagos, Nigeria",False,Twitter for iPhone,35,0
2019-10-09 16:32:30,A similar technology was deplored to exposing @GovUmarGanduje on his dollars corrupt allegation but @NGRPresident… https://t.co/ymkQkQ7UNQ,en,,False,Twitter for Android,0,0
2019-10-09 15:57:15,"West African Universities Today:
#gyampo 
#sex4grades https://t.co/jfIp8jEtbD",en,"Accra, Ghana",False,Twitter for Android,0,0
2019-10-09 15:31:13,We need a sex offenders register! #Sex4Grades https://t.co/KxzKDpGE3s,en,"Abuja, Nigeria",False,Twitter for Android,0,3
2019-10-09 15:24:07,"@ASKamara @JajaPhD Thank you!
I dont know why people fail to have sense. This is how things are and should be done.… https://t.co/npEfdlSQAv",en,"Lagos, Nigeria",False,Twitter for Android,0,0
2019-10-09 15:07:32,RT @Letitoutgh: We will soon tell you about how respected individuals and legal luminaries in University of Ghana are shielding their colle…,en,Mariana Trench,False,Twitter for Android,9,0
2019-10-09 15:04:45,"RT @Letitoutgh: Let's not pretend that the University of Ghana doesn't shield lecturers who are sex offenders.
Numerous reported cases of s…",en,Mariana Trench,False,Twitter for Android,8,0
2019-10-09 15:04:28,RT @RoseKeffas_G: I was never harassed by lecturers for #Sex4Grades! My mum taught me days b4 resuming never go late for lectures and never…,en,Mariana Trench,False,Twitter for Android,7,0
2019-10-09 15:04:19,RT @objectvmedia: #Sex4Grades Adeyeye Olorunfemi wrote the following exposé about libidinal sexcapades of lecturers at UNILAG. The authorit…,en,Mariana Trench,False,Twitter for Android,35,0
2019-10-09 15:04:11,"RT @The_Seeker76: Remember this woman?

She is Mrs. Bisi Fayemi, the wife of Ekiti State Governor.

She too has joined in on the #Sex4Grade…",en,Mariana Trench,False,Twitter for Android,79,0
2019-10-09 14:34:00,#NutritionalFacts #owambes #karenthebrand #Successcirleng #hustlertrend #jaggynation #lagoshustlegang #sexforgrades… https://t.co/ThlPOWl6gF,und,,False,Twitter for Android,0,0
