0,1,2,3,4,5,6,7
2019-10-11 12:35:07,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Sango-Ota, Nigeria",False,Twitter Web Client,2979,0
2019-10-11 12:34:52,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,my mother's womb,False,Twitter for Android,497,0
2019-10-11 12:34:38,Did anyone watch the one hour #SexForGrades video? I need to understand something. When Kiki was leaving the “Cold… https://t.co/hLUwdLE3lP,en,Instagram: Ethan_Regal,False,Twitter for iPhone,0,0
2019-10-11 12:34:26,"RT @i_am_koranteng: Things Dey happen for campus ooo
#sexforgrades
#slipperschallenge 
#WonderBoyAlbum https://t.co/oPv77ws3My",en,"Greater Accra, Ghana",False,Twitter for Android,5,0
2019-10-11 12:34:22,"RT @i_am_koranteng: Things Dey happen for campus ooo
#sexforgrades
#slipperschallenge 
#WonderBoyAlbum https://t.co/oPv77ws3My",en,with wife & kids,False,Twitter for Android,5,0
2019-10-11 12:34:02,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,,False,Twitter for Android,497,0
2019-10-11 12:33:12,"RT @Nwankpa_A: UNILAG Mass Comm students, if you believe your HOD is discriminating against you because of the #SexForGrades documentary, p…",en,,False,Twitter Web App,130,0
2019-10-11 12:33:07,RT @_bela_virino: Re: #sexforgrades please do not wish harmful things on their female relatives. It defeats the purpose. Women should not h…,en,everywhere,False,Twitter for iPhone,15,0
2019-10-11 12:33:07,RT @saadat_bibire: So my course mate back in school shared her experience on the #SEXFORGRADES thing. Ya'll dont wanna know how so many peo…,en,"Lagos, Nigeria ",False,Twitter for iPhone,13,0
2019-10-11 12:32:50,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,Emirates/North London.,False,Twitter for Android,2979,0
2019-10-11 12:32:44,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Port Harcourt, Nigeria",False,Twitter for Android,2979,0
2019-10-11 12:32:21,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,Manchester ,False,Twitter for Android,2979,0
2019-10-11 12:32:10,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,,False,Twitter for Android,2979,0
2019-10-11 12:32:07,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Kumasi, Ghana",False,Twitter for iPhone,2979,0
2019-10-11 12:31:58,"RT @ObongRoviel: Somebody’s father 
A pastor 
A sub dean 

Unilag here is your Dr Boniface #SexForGrades https://t.co/jPx43VOAxJ",en,,False,Twitter for Android,3080,0
2019-10-11 12:31:49,"RT @that_blaq_boi: Legon fuo di3 everything you wan chop first...Sex grades u dey top, Suicide u take, Chalewote u conquer and afters paren…",en,Around the world and back ,False,Twitter for Android,10,0
2019-10-11 12:31:48,"RT @Nwankpa_A: UNILAG Mass Comm students, if you believe your HOD is discriminating against you because of the #SexForGrades documentary, p…",en,Eastwatch by the sea,False,Twitter for Android,130,0
2019-10-11 12:31:48,"RT @edechiene: This brave girl did this story last year and it didn't go viral, let me bring it back again.

Ndi University of Nigeria Enug…",en,Nigeria,False,Twitter for iPhone,2053,0
2019-10-11 12:31:24,"RT @Nwankpa_A: UNILAG Mass Comm students, if you believe your HOD is discriminating against you because of the #SexForGrades documentary, p…",en,Nigeria,False,Twitter for iPhone,130,0
2019-10-11 12:31:22,"RT @i_am_koranteng: Things Dey happen for campus ooo
#sexforgrades
#slipperschallenge 
#WonderBoyAlbum https://t.co/oPv77ws3My",en,,False,Twitter for Android,5,0
2019-10-11 12:31:17,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Nigeria, W/Africa",False,Twitter for iPad,2979,0
2019-10-11 12:31:17,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Lagos, Nigeria",False,Twitter for Android,2979,0
2019-10-11 12:31:06,"RT @NigeriainfoFM: #SexForGrades Update:

""Lecturers are not saints. Some girls want STD: Sexually Transmitted Degree...""

Uniben lecturer…",en,"Ontario, CA",False,Twitter for Android,140,0
