"name","username","time","timestamp","text","location"
"Zoe Flood","@Zoe_Flood","Oct 17, 2019 8:17 AM","1571296621","
  Thanks @ProblemGamIrl for sharing our #BBCAfricaEye documentary #GamblersLikeMe – you can watch it here: https://www.youtube.com/watch?v=JXgLwphEDM0 …

@MuhindaCollins @namlyd @danielsilas @marcperkyhttps://twitter.com/ProblemGamIrl/status/1184483993179361282 …
","East Africa | London"
"Ken K","@KenKeeya","Oct 16, 2019 11:55 PM","1571266541","
  Gamblers like me: The dark side of sports betting - BBC Africa Eye docum... https://youtu.be/JXgLwphEDM0  I clocked on this not knowing it was based in Uganda, interesting watch
","Only Human"
"Sdla","@sld_altn","Oct 16, 2019 11:28 PM","1571264894","
  #BBCAfricaEye #azdanazcoktancokgider #tuerkiyeninnabzi #Trump #earthquake #HarleysInHawaii #BarisPinariHerakatihttps://twitter.com/tvnet/status/1109089576134627329 …
",
"DammyMartins","@dmartinsng","Oct 16, 2019 9:40 PM","1571258456","
  Its a tragedy. Onitsha on fire.

#toto #YahooYahoo #EFCC #InnosonVehicles #WednesdayMotivation #WednesdayWisdom #tundeednut #BBCAfricaEye #TachaXHotFM #TachaxHouseOfLunnettes #YEYEBOYFRIENDpic.twitter.com/yGgwgG0GDH
",
"Paula","@MissPaulaGreen","Oct 16, 2019 8:50 PM","1571255420","
  Watched this on my way to work this morning. Really disturbing!! Hope these women get justice and these Professors & Senior Lecturers are exposed & sacked! Can't imagine the trauma these women are going through!  #BBCAfricaEye #SexForGrades #Universityhttps://youtu.be/we-F0Gi0Lqs 
","SOUTH EAST LONDON, UK"
"NetworkOfNews Ghana","@NofNews_Ghana","Oct 16, 2019 6:43 PM","1571247783","
  The BBC Africa Eye has revealed, contrary to reports that there were other lecturers captured in the sex for grades expose, the focus of... https://is.gd/YuCuAh 
","Ghana"
"Nathan","@I_AM_NATHANKJ_","Oct 16, 2019 6:17 PM","1571246247","
  Its a tragedy. Onitsha on fire.

#toto #YahooYahoo #EFCC #InnosonVehicles #WednesdayMotivation #WednesdayWisdom #tundeednut #BBCAfricaEye #TachaXHotFM #TachaxHouseOfLunnettes #YEYEBOYFRIENDpic.twitter.com/UeayWezA0U
","lagos"
"Zoe Flood","@Zoe_Flood","Oct 16, 2019 5:08 PM","1571242129","
  This was an issue that we came across while making #GamblersLikeMe (watch here: https://www.youtube.com/watch?v=JXgLwphEDM0 …) – our film for #BBCAfricaEye focused on impacts on football-obsessed punters in Africa, but I was told that betting is a huge problem in elite sport.
","East Africa | London"
"KageMartinz","@Kagemartinz","Oct 16, 2019 3:56 PM","1571237795","
  I feel everyone needs to watch the remaining documentaries on BBC Africa Eye. 
There are all eye opening documentaries and a reality of some people around us. Documentaries on; 
Addiction to Sport bet 
Inside Nigeria's Kidnap Crisis 
Nigeria Cough syrup crisis 
Sex for Grades.
","🌎"
"BK","@BethyGk","Oct 16, 2019 2:35 PM","1571232934","
  It’s a must read ! How dare you? #France #BBCAfricaEye
France/Afrique : 14 African Countries Forced by France to Pay Colonial Tax For the Benefits of Slavery and Colonization | Le Club de Mediapart #francehttps://blogs.mediapart.fr/jecmaus/blog/300114/franceafrique-14-african-countries-forced-france-pay-colonial-tax-benefits-slavery-and-colonization …
","Ethiopia"
"мσηgєzι™","@MONGA_MONGA","Oct 16, 2019 2:25 PM","1571232309","
  The title of the video is: ""Sex for Grades: undercover inside Nigerian and Ghanaian universities"" - by BBC Africa Eye documentary

Interesting & sad to watch
#FeesMustFall

BBC https://youtu.be/we-F0Gi0Lqs 
","Soweto, South Africa"
"halima umar","@Lims_invisible","Oct 16, 2019 2:00 PM","1571230846","
  The Hidden Lives Of 'Housegirls' - Full documentary - BBC Africa Eye https://youtu.be/21G98xWA6qE  via @YouTube
","Kaduna"
"Stationfor","@stationfor","Oct 16, 2019 1:28 PM","1571228883","
  RELATIONS_(Sex for Grades: undercover inside Nigerian and Ghanaian universities - BBC Africa Eye documentary) has been published on Station4Relations - https://stationfor.com/relations/2019/10/16/sex-for-grades-undercover-inside-nigerian-and-ghanaian-universities-bbc-africa-eye-documentary/ …pic.twitter.com/1Md4gpYQnH
",
"Blogger elite","@OfficalDexytee","Oct 16, 2019 12:25 PM","1571225154","
  Black boi magic
#bloggerelite

 #BBCAfricaEye #BBNajia2019pic.twitter.com/m2iaDLOAMJ
",
"Bishop","@BishopBoye","Oct 16, 2019 11:05 AM","1571220318","
  When will our local media investigate the trafficking of Nigerian underage girls to the Middle East through the Lagos International Airport? Or should we wait for another @BBCAfrica documentary? #BBCAfricaEye
","Lagos, Nigeria"
"Movement Against Sexual Abuse And Violence(Masaav)","@MMasaav","Oct 16, 2019 8:27 AM","1571210858","
  There must also be deliberate efforts to enforce these policies when they enacted as laws. Their are some laws in Nigeria that have not been enforced. A federal sexual offences register must be opened. #SexforGrades #BBCAfricaEye
","Canada,Nigeria,USA,Bostwana"
"sanu","@sanuwrotethis","Oct 16, 2019 7:33 AM","1571207583","
  A man's mind is stretched by a new idea or sensation, and never shrinks back to its former dimensions.
― Oliver Wendell
@sanuwrotethis #BBCAfricaEye #Ghana #Nigeria
","Mumbai,India"
"Evelyn Tremble","@DrumChronicles","Oct 16, 2019 5:05 AM","1571198732","
  Has @BBCAfrica #BBCAfricaEye ever investigated the reason why one of the participants they approached in the making of this documentary committed suicide
",
"Bob Sow  🇬🇳","@Bobosow12","Oct 16, 2019 2:28 AM","1571189331","
  Un éternel recommencement!! on dirait que certains présidents des pays africains n’ont rien appris du passé  #ilsfinironsparcomprendre #BBCAfricaEye #Guinea #Amoulanféhttps://twitter.com/kalillegeneral/status/1184258676695191554 …
","Bruxelles, Belgique"
"Obi Egere","@DeSpecialist","Oct 16, 2019 12:47 AM","1571183239","
  Sex for Grades: undercover inside Nigerian and Ghanaian universities - BBC Africa Eye documentary https://www.youtube.com/watch?v=we-F0Gi0Lqs&feature=share …
","ÜT: 51.538628,-0.051359"
"Atoke","@Atoke_","Oct 15, 2019 11:49 PM","1571179753","
  ""What we are dealing with is a devious plot by the “BBC Africa Eye” service to drag the image of the prestigious University of Lagos (UNILAG), Nigeria and Africa to the mud.""

Are you people alright? Is your suit alright? S'ori yin pe sha? https://twitter.com/GuardianNigeria/status/1184035048053448704 …
","Floating"
"Wes Beal","@wesbeal","Oct 15, 2019 8:20 PM","1571167220","
  Hey @bbcafrica /BBCAfricaEye, get over hear! https://twitter.com/citezw/status/1184136877449842689 …
","Away from everyone"
"Uche","@lydiaezeakor","Oct 15, 2019 7:00 PM","1571162441","
  In light of this, University of Nigeria Nsukka - UNN took action a couple days back by suspending Culprits of 
#SexForGrades #UNN #BBCAfricaEye 
@kikimordi @BBCAfrica https://twitter.com/BBCAfrica/status/1181651477997248512 …pic.twitter.com/CqmFQA9MCg
","Abuja, Nigeria"
"izuchukwu victory","@izuchukwuvict11","Oct 15, 2019 6:40 PM","1571161254","
  In the light of revelations regarding the documentary titled sex for grades done by BBC Africa Eye, which tremendous impact, what else can be done to curb sexual harassment in higher institutions. @obyezeks , @renoomokri , @BBCAfrica , @BusinessDayNg , @kikimordi , @HenshawKate
",
"Victor Zaviano","@victor_zaviano","Oct 15, 2019 6:10 PM","1571159444","
  A short Music film for @HarryCarterNg 
#sexforgrades
#TuesdayMotivation 
#BBCAfricaEye pic.twitter.com/dnAQTxijIm
","Benin-City, Nigeria"
"CaribbeanQueen  🇩🇲","@intlvoyager","Oct 15, 2019 5:36 PM","1571157391","
  Sex for Grades: undercover inside Nigerian and Ghanaian universities - BBC Africa Eye documentary https://youtu.be/we-F0Gi0Lqs  via @YouTube #metoo #Nigeria #Naija #Ghana #BBC #Africa #education
","Harrisburg, PA"
"Marina Forsythe","@M2elevate","Oct 15, 2019 4:59 PM","1571155162","
  Sex For Grades: Human Rights Commission establishes Investigative Committee after #BBCAfricaEye documentary with ⁦@kikimordi⁩ #sexforgrades  ⁦@BBCAfrica⁩https://aledeh.com/sex-for-grades-human-rights-commission-establishes-investigative-committee/ …
","London"
"Kogeda","@kogedah","Oct 15, 2019 4:39 PM","1571153947","
  BBC News - Nigeria lecturer suspended after BBC Africa Eye 'sex-for-grades' film https://www.bbc.com/news/world-africa-49971067 …
",
