"name","username","time","timestamp","text","location"
"paulo","@paulo51101948","Oct 16, 2019 5:02 PM","1571241754","
  Even the minister self don't understand SEX4GRADES, maybe he think we are still talking about that useless senator that beat up a lady at sex tools shop, because minister never show sign or react.
","Brasília, Brazil"
"paulo","@paulo51101948","Oct 16, 2019 4:54 PM","1571241297","
  DEM LIKE DEMSELFS. DEN DEY KEEP SEX4GRADES FOR NEXT CAMPAIGN MANIFEST NÌ JÀRÉ SONGO DAT WILL FIRE DEM DEY LOADING.... https://twitter.com/RealSeunKuti/status/1184448284259213315 …
","Brasília, Brazil"
"Udy Okon","@okonud","Oct 16, 2019 3:48 PM","1571237284","
  SEX4GRADES is a menace we urgently need to address. @yafng is calling for a state of emergency on this issue. #Sex4Grades #madact #NoShishi4Bribe
","Global Citizen"
"Youth Alive Foundation","@YAFng","Oct 16, 2019 3:18 PM","1571235485","
  Youths can imitate Genevieve for personal, community and nationwide development. #YouthsCanModel #Sex4Grades #NoShiShi4Bribe #MadACT #StudentsOrganizingChange #WCW
","Nigeria"
"The One","@I_williamsdavid","Oct 16, 2019 12:39 PM","1571225978","
  Whatever comittees and task forces are being set up can derive initiatives and learning from campaigns like the Sexual Harrassment in Higher Education, SHE Campaign.

#Sex4Grades
",
"The One","@I_williamsdavid","Oct 16, 2019 12:39 PM","1571225977","
  I'm glad the conversation about sexual abuse is no longer under the table and I'm grateful for @BBC bringing these issues to the light.

Civil Society Organizations like @YAFng have been ahead of the curve. 

#Sex4Grades https://twitter.com/MBuhari/status/1182646175255683073 …
",
"J","@Jire_","Oct 16, 2019 10:43 AM","1571219035","
  I didnt realize there was an hour long version of the sex4grades doc. I only saw the 13 minutes one.
","Barrain"
"Fatima Adu (Affidavit First Lady)","@NaijaGoBeta1","Oct 16, 2019 10:25 AM","1571217920","
  You mean discussing #Sex4Grades is a distraction?
",
" 💦 💥D.Legacy 👑","@S_U_Dikko","Oct 16, 2019 10:03 AM","1571216614","
  Uni slay queen’s after BBC sex4grades documentary. https://twitter.com/jotechtracker/status/1184209746125119490 …
","Abuja, Nigeria"
"Prof Kushkings","@DonKushkings","Oct 16, 2019 7:22 AM","1571206954","
  Before you see women talking bad about government that means Bobrisky or rape case or Sex4grades is involved. Tomorrow they all want Equality. You also see them shouting feminist up and down. They’re all keyboard warriors
",
"REVOLUTIONARY HOUSE OF KAL","@kalempire","Oct 16, 2019 5:53 AM","1571201611","
  Wait oo, the technology used in catching the #Sex4Grades lecturer, wasn't It the same technology used to catch #Ganduje #Gandollars receiving bribes and embezzling funds meant for the poor? Why has @officialEFCC NOT PRESSED CHARGES AGAINST #GANDUJE?? Corrupt and useless #efcc!
","All Around the Globe"
"oke epia","@resourceme","Oct 15, 2019 8:41 PM","1571168469","
  #Sex4Grades pic.twitter.com/H07TyXTdKd
","Following the story"
"FOX Naija","@foxnaija247","Oct 15, 2019 4:53 PM","1571154794","
  ""A Period should only end a Sentence and not a Girls Education.""

This one Loud o

#Sex4Grades
#GiveAGirlChildAPadpic.twitter.com/v9iLxXed0a
","NIGERIA | AFRICA | WORLD"
