"name","username","time","timestamp","text","location"
"Nungua Professor Gyampo","@SammyAscona","Oct 17, 2019 8:16 AM","1571296577","
  3kombahttps://twitter.com/nanathanos/status/1184495538101723136 …
","accra technical university"
"Nungua Professor Gyampo","@SammyAscona","Oct 17, 2019 8:15 AM","1571296549","
  3komba
","accra technical university"
"PROF GYAMPO","@Blazing_kartel","Oct 17, 2019 7:53 AM","1571295195","
  Follow back
","island"
"PROF GYAMPO","@Blazing_kartel","Oct 17, 2019 6:58 AM","1571291897","
  Dancing to my tunes ....is it too much??
","island"
"PROF GYAMPO","@Blazing_kartel","Oct 17, 2019 6:57 AM","1571291873","
  @omaneboamah u see ur lifehttps://twitter.com/NanaAnsah20/status/1184418594718932993 …
","island"
"Ewura Abedu-Kennedy","@KendraAbedu","Oct 17, 2019 6:56 AM","1571291813","
  Sex for Grades: Gyampo, Butakor were our targets – BBC https://www.adomonline.com/sex-for-grades-gyampo-butakor-were-our-targets-bbc/ … via @adomonline
","Kokomlemle"
"PROF GYAMPO","@Blazing_kartel","Oct 17, 2019 6:56 AM","1571291805","
  Ga foo ne gyimii de3
","island"
"PROF GYAMPO","@Blazing_kartel","Oct 17, 2019 6:49 AM","1571291380","
  Wowhttps://twitter.com/tv3_ghana/status/1184456612767064064 …
","island"
" 🇬🇭Hypercitigh","@HypercitiNews","Oct 17, 2019 5:36 AM","1571286998","
  Sex for Grades: Gyampo, Butakor were our targets — BBC https://hypercitigh.com/education/sex-for-grades-gyampo-butakor-were-our-targets-bbc/ …pic.twitter.com/UFPegQSAhG
","Kumasi, Ghana"
"ABEKU Adams SPEAKS","@AbekuAdams1","Oct 17, 2019 5:18 AM","1571285915","
  Prof. Gyampo is Church of Pentecost Elder? Seeking clarification as led by the Holy Spirit, pls.
","Ghana"
"PROF GYAMPO","@Blazing_kartel","Oct 16, 2019 11:11 PM","1571263885","
  Thanks for the clarification.  Ghanaweb is being operated by a two year old kidhttps://twitter.com/burnaboy/status/1184479172510527488 …
","island"
