,created_at,noClean_tweet,location,verified,source,retweet_count,sentiments,word_count,text
0,2019-10-09 17:32:34,"Buhari fight corruption but don't fight #Sex4Grades

Coz If not many girls in Unilag  won't graduate😂",Nigeria,False,Twitter for Android,0,positive,16,buhari fight corruption fight sex4grades coz many girl unilag graduate
1,2019-10-09 17:26:31,Lord forgive me but any man intro himself to me as a Pastor I'm grabbing my daughter and my wallet tightly!!!! Unti… https://t.co/it9ujYjXlY,Nigeria,False,Twitter for Android,0,negative,23,lord forgive man intro pastor grabbing daughter wallet tightly unti
3,2019-10-09 17:09:11,"Biko nu ,who is the minister of education?
#sex4grades.
#wedeservebetter.","Lagos, Nigeria",False,Twitter for Android,0,neutral,8,biko nu minister education sex4grades wedeservebetter
4,2019-10-09 17:04:18,"@emekachukwuleta Like I said, before.. @BBCAfrica am proud of you.

When it was @timidakolo and his wife then you g… https://t.co/b3zBehqNU8","Lagos, Nigeria",False,Twitter for Android,0,positive,20,emekachukwuleta like said bbcafrica proud timidakolo wife g
7,2019-10-09 16:32:30,A similar technology was deplored to exposing @GovUmarGanduje on his dollars corrupt allegation but @NGRPresident… https://t.co/ymkQkQ7UNQ,,False,Twitter for Android,0,negative,16,similar technology deplored exposing govumarganduje dollar corrupt allegation ngrpresident
8,2019-10-09 15:57:15,"West African Universities Today:
#gyampo 
#sex4grades https://t.co/jfIp8jEtbD","Accra, Ghana",False,Twitter for Android,0,neutral,6,west african university today gyampo sex4grades
9,2019-10-09 15:31:13,We need a sex offenders register! #Sex4Grades https://t.co/KxzKDpGE3s,"Abuja, Nigeria",False,Twitter for Android,0,neutral,8,need sex offender register sex4grades
10,2019-10-09 15:24:07,"@ASKamara @JajaPhD Thank you!
I dont know why people fail to have sense. This is how things are and should be done.… https://t.co/npEfdlSQAv","Lagos, Nigeria",False,Twitter for Android,0,negative,22,askamara jajaphd thank dont know people fail sense thing done
16,2019-10-09 14:34:00,#NutritionalFacts #owambes #karenthebrand #Successcirleng #hustlertrend #jaggynation #lagoshustlegang #sexforgrades… https://t.co/ThlPOWl6gF,,False,Twitter for Android,0,neutral,9,nutritionalfacts owambes karenthebrand successcirleng hustlertrend jaggynation lagoshustlegang sexforgrades
22,2019-10-09 12:58:43,😂😂😂 #sex4grades https://t.co/Y2ySmAtOM3,We Global Nigga,False,Twitter for Android,0,neutral,3,sex4grades
25,2019-10-09 12:50:48,"In Ghana now everyday there's a different to talk about 
Not long we had the CSE
Then taxes increment 
Then… https://t.co/XdPglBa6BT",,False,Twitter for Android,1,negative,20,ghana everyday different talk long cse tax increment
26,2019-10-09 12:50:13,"#onairnow #Apero with Aladesanmi Oyekanmi discussing #sex4grades
#ListenLive🎧🌏: https://t.co/5SEJOVwbKs / download… https://t.co/kuq7qPwPQN","Akure, Ondo State",False,Instagram,1,neutral,11,onairnow apero aladesanmi oyekanmi discussing sex4grades listenlive download
29,2019-10-09 12:45:41,"Monday was “Cold Room”. 

Tuesday was “Cold” induced by hard work...

Please I’m waiting for the “Cold Word” for We… https://t.co/2KalOjU8dg",Nigeria ,False,Twitter Web App,4,negative,20,monday cold room tuesday cold induced hard work please waiting cold word
