"","word","freq"
"sexgrad","sexgrad",698
"lectur","lectur",319
"asham","asham",232
"talk","talk",197
"woman","woman",195
"sexual","sexual",167
"harass","harass",156
"stori","stori",136
"fear","fear",128
"will","will",127
"scare","scare",124
"report","report",121
"everi","everi",120
"listen","listen",118
"frustrat","frustrat",116
"judgment","judgment",116
"near","near",116
"victim","victim",111
"student","student",105
"even","even",95
"unilag","unilag",92
"rememb","rememb",89
"wife","wife",88
"sex","sex",86
"join","join",85
"state","state",84
"bisi","bisi",80
"fayemi","fayemi",80
"court","court",79
"resort","resort",79
"sympathi","sympathi",79
"threaten","threaten",79
"typic","typic",79
"ekiti","ekiti",79
"governor","governor",79
"mrs","mrs",79
"institut","institut",77
"won","won",65
"sexforgrad","sexforgrad",64
"daughter","daughter",62
"give","give",62
"tertiari","tertiari",61
"girlfriend","girlfriend",61
"nigerian","nigerian",60
"univers","univers",59
"thing","thing",59
"son","son",59
"wive","wive",59
"think","think",56
"bbc","bbc",56
"can","can",51
"say","say",50
"just","just",48
"girl","girl",46
"expos","expos",46
"documentari","documentari",46
"preval","preval",46
"still","still",45
"ladi","ladi",43
"youth","youth",43
"world","world",42
"aliv","aliv",42
"foundat","foundat",42
"grade","grade",40
"want","want",40
"mean","mean",40
"peopl","peopl",39
"one","one",39
"exposé","exposé",38
"follow","follow",38
"gyampo","gyampo",38
"let","let",38
"make","make",38
"like","like",37
"zero","zero",37
"adeyey","adeyey",36
"libidin","libidin",36
"olorunfemi","olorunfemi",36
"sexcapad","sexcapad",36
"wrote","wrote",36
"authorit","authorit",35
"ghana","ghana",35
"time","time",35
"nigeria","nigeria",35
"put","put",35
"survey","survey",35
"start","start",34
"journalist","journalist",34
"speak","speak",34
"recent","recent",34
"never","never",33
"school","school",33
"know","know",32
"sleep","sleep",32
"investig","investig",31
"take","take",31
"doesn","doesn",30
"social","social",30
"pose","pose",30
"issu","issu",29
"see","see",29
"get","get",29
"rape","rape",29
"pressur","pressur",29
"don","don",28
"come","come",28
"now","now",27
"campus","campus",27
"centuri","centuri",27
"signal","signal",27
"women","women",26
"happen","happen",26
"act","act",26
"small","small",26
"becom","becom",26
"studentsorganizingchang","studentsorganizingchang",26
"educ","educ",25
"case","case",25
"cold","cold",25
"right","right",25
"news","news",25
"hand","hand",25
"didn","didn",24
"perpetr","perpetr",24
"amp","amp",23
"realli","realli",23
"bonifac","bonifac",23
"guy","guy",23
"common","common",23
"man","man",22
